bored,danger,dangerous,depress,destructive,dishonor,guilt,guilty,hunger,hungry,interest,lazy,lose,loss,phlegmatic,sadness,sleep,suicidal,tired,Cluster
0,0,0,0,0,0,0.221071,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.168357,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.206802,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.207785,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.221071,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.389126,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.169673,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.20269,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.303254,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.245385,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0.322027,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230394,0,yes
0,0,0,0,0,0,0.22281,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251923,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255707,0,yes
0,0,0,0,0,0,0.243728,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0.405568,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.221226,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.220969,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.279354,0.438532,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.200435,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.414377,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.232893,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.215643,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.186203,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.229209,0,0,0,0,0,0,0,0,0,0,0,0,yes
